date,close,turnover
2019-01-02,0.528,0.03
2019-01-03,0.524,0.01
2019-01-04,0.539,0.04
2019-01-07,0.55,0.03
2019-01-08,0.548,0.04
2019-01-09,0.549,0.03
2019-01-10,0.547,0.02
2019-01-11,0.552,0.02
2019-01-14,0.549,0.02
2019-01-15,0.555,0.03
2019-01-16,0.556,0.03
2019-01-17,0.549,0.01
2019-01-18,0.554,0.03
2019-01-21,0.557,0.03
2019-01-22,0.551,0.03
2019-01-23,0.551,0.02
2019-01-24,0.555,0.03
2019-01-25,0.552,0.04
2019-01-28,0.547,0.03
2019-01-29,0.537,0.06
2019-01-30,0.53,0.04
2019-01-31,0.522,0.07
2019-02-01,0.537,0.04
2019-02-11,0.553,0.07
2019-02-12,0.56,0.11
2019-02-13,0.57,0.09
2019-02-14,0.572,0.08
2019-02-15,0.57,0.1
2019-02-18,0.592,0.1
2019-02-19,0.595,0.14
2019-02-20,0.594,0.09
2019-02-21,0.593,0.09
2019-02-22,0.606,0.08
2019-02-25,0.641,0.12
2019-02-26,0.64,0.18
2019-02-27,0.635,0.11
2019-02-28,0.638,0.06
2019-03-01,0.643,0.12
2019-03-04,0.657,0.16
2019-03-05,0.679,0.08
2019-03-06,0.694,0.29
2019-03-07,0.708,0.25
2019-03-08,0.683,0.29
2019-03-11,0.707,0.21
2019-03-12,0.723,0.24
2019-03-13,0.703,0.17
2019-03-14,0.682,0.15
2019-03-15,0.692,0.14
2019-03-18,0.709,0.11
2019-03-19,0.71,0.14
2019-03-20,0.708,0.13
2019-03-21,0.719,0.18
2019-03-22,0.721,0.1
2019-03-25,0.715,0.08
2019-03-26,0.694,0.17
2019-03-27,0.699,0.18
2019-03-28,0.689,0.14
2019-03-29,0.71,0.16
2019-04-01,0.739,0.2
2019-04-02,0.743,0.16
2019-04-03,0.749,0.12
2019-04-04,0.753,0.15
2019-04-08,0.746,0.17
2019-04-09,0.749,0.13
2019-04-10,0.747,0.17
2019-04-11,0.731,0.14
2019-04-12,0.733,0.17
2019-04-15,0.727,0.12
2019-04-16,0.742,0.14
2019-04-17,0.749,0.16
2019-04-18,0.745,0.16
2019-04-19,0.752,0.16
2019-04-22,0.742,0.14
2019-04-23,0.729,0.14
2019-04-24,0.738,0.13
2019-04-25,0.708,0.17
2019-04-26,0.7,0.15
2019-04-29,0.675,0.18
2019-04-30,0.682,0.16
2019-05-06,0.626,0.22
2019-05-07,0.637,0.17
2019-05-08,0.636,0.21
2019-05-09,0.63,0.08
2019-05-10,0.655,0.19
2019-05-13,0.648,0.08
2019-05-14,0.645,0.12
2019-05-15,0.66,0.09
2019-05-16,0.664,0.09
2019-05-17,0.642,0.11
2019-05-20,0.639,0.13
2019-05-21,0.651,0.17
2019-05-22,0.65,0.08
2019-05-23,0.635,0.08
2019-05-24,0.627,0.11
2019-05-27,0.646,0.13
2019-05-28,0.645,0.15
2019-05-29,0.647,0.05
2019-05-30,0.644,0.09
2019-05-31,0.643,0.05
2019-06-03,0.635,0.16
2019-06-04,0.622,0.16
2019-06-05,0.624,0.03
2019-06-06,0.608,0.16
2019-06-10,0.616,0.12
2019-06-11,0.64,0.2
2019-06-12,0.635,0.07
2019-06-13,0.639,0.15
2019-06-14,0.625,0.1
2019-06-17,0.624,0.14
2019-06-18,0.624,0.03
2019-06-19,0.633,0.15
2019-06-20,0.644,0.23
2019-06-21,0.656,0.58
2019-06-24,0.654,0.16
2019-06-25,0.648,0.2
2019-06-26,0.648,0.1
2019-06-27,0.654,0.14
2019-06-28,0.644,0.11
2019-07-01,0.665,0.23
2019-07-02,0.665,0.1
2019-07-03,0.659,0.12
2019-07-04,0.656,0.12
2019-07-05,0.659,0.15
2019-07-08,0.636,0.14
2019-07-09,0.639,0.18
2019-07-10,0.634,0.08
2019-07-11,0.633,0.1
2019-07-12,0.635,0.19
2019-07-15,0.64,0.09
2019-07-16,0.643,0.07
2019-07-17,0.644,0.06
2019-07-18,0.634,0.11
2019-07-19,0.64,0.43
2019-07-22,0.625,1.56
2019-07-23,0.638,1.14
2019-07-24,0.645,0.61
2019-07-25,0.65,0.28
2019-07-26,0.651,0.05
2019-07-29,0.65,0.05
2019-07-30,0.653,0.12
2019-07-31,0.648,0.09
2019-08-01,0.645,0.11
2019-08-02,0.636,0.12
2019-08-05,0.627,0.13
2019-08-06,0.612,0.17
2019-08-07,0.611,0.12
2019-08-08,0.619,0.81
2019-08-09,0.616,0.25
2019-08-12,0.626,0.27
2019-08-13,0.624,0.13
2019-08-14,0.629,0.1
2019-08-15,0.631,0.13
2019-08-16,0.636,0.14
2019-08-19,0.657,0.16
2019-08-20,0.656,0.11
2019-08-21,0.657,0.05
2019-08-22,0.66,0.14
2019-08-23,0.658,0.06
2019-08-26,0.655,0.07
2019-08-27,0.668,0.14
2019-08-28,0.665,0.08
2019-08-29,0.666,0.07
2019-08-30,0.658,0.14
2019-09-02,0.674,0.13
2019-09-03,0.679,0.1
2019-09-04,0.686,0.09
2019-09-05,0.69,0.14
2019-09-06,0.694,0.07
2019-09-09,0.715,0.11
2019-09-10,0.715,0.11
2019-09-11,0.707,0.09
2019-09-12,0.712,0.1
2019-09-16,0.713,0.08
2019-09-17,0.699,0.1
2019-09-18,0.697,0.07
2019-09-19,0.703,0.1
2019-09-20,0.704,0.05
2019-09-23,0.7,0.07
2019-09-24,0.701,0.12
2019-09-25,0.688,0.11
2019-09-26,0.666,0.13
2019-09-27,0.672,0.14
2019-09-30,0.663,0.13
2019-10-08,0.665,0.06
2019-10-09,0.671,0.08
2019-10-10,0.681,0.11
2019-10-11,0.682,0.08
2019-10-14,0.692,0.09
2019-10-15,0.683,0.12
2019-10-16,0.678,0.11
2019-10-17,0.678,0.08
2019-10-18,0.67,0.1
2019-10-21,0.666,0.12
2019-10-22,0.674,0.16
2019-10-23,0.669,0.08
2019-10-24,0.668,0.08
2019-10-25,0.673,0.13
2019-10-28,0.691,0.18
2019-10-29,0.683,0.18
2019-10-30,0.677,0.17
2019-10-31,0.669,0.1
2019-11-01,0.675,0.06
2019-11-04,0.679,0.13
2019-11-05,0.682,0.06
2019-11-06,0.675,0.09
2019-11-07,0.679,0.07
2019-11-08,0.679,0.23
2019-11-11,0.661,0.12
2019-11-12,0.662,0.1
2019-11-13,0.66,0.05
2019-11-14,0.663,0.08
2019-11-15,0.657,0.15
2019-11-18,0.661,0.13
2019-11-19,0.675,0.14
2019-11-20,0.669,0.13
2019-11-21,0.67,0.12
2019-11-22,0.662,0.12
2019-11-25,0.657,0.11
2019-11-26,0.657,0.07
2019-11-27,0.658,0.11
2019-11-28,0.656,0.1
2019-11-29,0.655,0.12
2019-12-02,0.657,0.07
2019-12-03,0.661,0.08
2019-12-04,0.662,0.1
2019-12-05,0.668,0.12
2019-12-06,0.674,0.08
2019-12-09,0.674,0.16
2019-12-10,0.678,0.11
2019-12-11,0.676,0.14
2019-12-12,0.676,0.16
2019-12-13,0.687,0.12
2019-12-16,0.699,0.16
2019-12-17,0.707,0.13
2019-12-18,0.707,0.12
2019-12-19,0.713,0.13
2019-12-20,0.703,0.11
2019-12-23,0.686,0.15
2019-12-24,0.7,0.19
2019-12-25,0.705,0.12
2019-12-26,0.711,0.13
2019-12-27,0.705,0.12
2019-12-30,0.71,0.13
2019-12-31,0.714,0.05
2020-01-02,0.728,0.17
2020-01-03,0.731,0.07
2020-01-06,0.738,0.11
2020-01-07,0.75,0.08
2020-01-08,0.741,0.09
2020-01-09,0.751,0.12
2020-01-10,0.75,0.11
2020-01-13,0.76,0.09
2020-01-14,0.758,0.09
2020-01-15,0.757,0.09
2020-01-16,0.758,0.11
2020-01-17,0.754,0.16
2020-01-20,0.765,0.09
2020-01-21,0.757,0.15
2020-01-22,0.762,0.13
2020-01-23,0.735,0.19
2020-02-03,0.662,0.1
2020-02-04,0.671,0.1
2020-02-05,0.694,0.16
2020-02-06,0.713,0.11
2020-02-07,0.72,0.12
2020-02-10,0.73,0.11
2020-02-11,0.728,0.1
2020-02-12,0.745,0.08
