date,close,turnover
2019-01-02,3.285,0.49
2019-01-03,3.285,0.37
2019-01-04,3.362,0.67
2019-01-07,3.375,0.58
2019-01-08,3.375,0.27
2019-01-09,3.398,0.61
2019-01-10,3.401,0.34
2019-01-11,3.424,0.35
2019-01-14,3.397,0.28
2019-01-15,3.456,0.49
2019-01-16,3.456,0.26
2019-01-17,3.439,0.33
2019-01-18,3.493,0.54
2019-01-21,3.51,0.4
2019-01-22,3.47,0.35
2019-01-23,3.462,0.31
2019-01-24,3.486,0.35
2019-01-25,3.51,0.38
2019-01-28,3.506,0.41
2019-01-29,3.52,0.5
2019-01-30,3.499,0.3
2019-01-31,3.529,0.46
2019-02-01,3.582,0.49
2019-02-11,3.627,0.54
2019-02-12,3.651,0.52
2019-02-13,3.72,0.59
2019-02-14,3.724,0.53
2019-02-15,3.668,0.62
2019-02-18,3.765,0.65
2019-02-19,3.756,0.94
2019-02-20,3.765,0.85
2019-02-21,3.761,0.88
2019-02-22,3.853,0.82
2019-02-25,4.102,1.6
2019-02-26,4.017,1.09
2019-02-27,3.997,0.83
2019-02-28,3.99,0.64
2019-03-01,4.065,0.91
2019-03-04,4.104,0.92
2019-03-05,4.136,0.62
2019-03-06,4.162,0.81
2019-03-07,4.12,0.86
2019-03-08,3.988,0.74
2019-03-11,4.037,0.63
2019-03-12,4.062,0.74
2019-03-13,4.04,0.67
2019-03-14,4.013,0.5
2019-03-15,4.062,0.54
2019-03-18,4.177,0.79
2019-03-19,4.149,0.55
2019-03-20,4.149,0.46
2019-03-21,4.151,0.53
2019-03-22,4.156,0.42
2019-03-25,4.061,0.61
2019-03-26,4.022,0.44
2019-03-27,4.054,0.49
2019-03-28,4.044,0.36
2019-03-29,4.196,0.88
2019-04-01,4.296,0.96
2019-04-02,4.289,0.53
2019-04-03,4.342,0.75
2019-04-04,4.389,0.72
2019-04-08,4.363,1.06
2019-04-09,4.387,0.52
2019-04-10,4.393,0.54
2019-04-11,4.323,0.7
2019-04-12,4.309,0.39
2019-04-15,4.284,1.0
2019-04-16,4.404,0.93
2019-04-17,4.394,0.58
2019-04-18,4.387,0.5
2019-04-19,4.447,0.64
2019-04-22,4.344,0.8
2019-04-23,4.337,0.49
2019-04-24,4.343,0.64
2019-04-25,4.26,0.53
2019-04-26,4.206,0.87
2019-04-29,4.221,0.78
2019-04-30,4.223,0.55
2019-05-06,4.0,1.69
2019-05-07,4.034,0.67
2019-05-08,3.986,0.66
2019-05-09,3.934,0.77
2019-05-10,4.047,0.93
2019-05-13,3.979,0.59
2019-05-14,3.961,0.4
2019-05-15,4.039,0.5
2019-05-16,4.057,0.34
2019-05-17,3.973,0.44
2019-05-20,3.933,0.54
2019-05-21,3.978,0.49
2019-05-22,3.969,0.39
2019-05-23,3.911,0.43
2019-05-24,3.917,0.42
2019-05-27,3.96,0.6
2019-05-28,3.977,0.53
2019-05-29,3.979,0.41
2019-05-30,3.977,0.42
2019-05-31,3.959,0.38
2019-06-03,3.967,0.46
2019-06-04,3.934,0.45
2019-06-05,3.926,0.46
2019-06-06,3.895,0.51
2019-06-10,3.941,0.47
2019-06-11,4.054,0.65
2019-06-12,4.026,0.36
2019-06-13,4.019,0.42
2019-06-14,3.997,0.48
2019-06-17,4.0,0.33
2019-06-18,4.008,0.37
2019-06-19,4.062,0.87
2019-06-20,4.17,0.92
2019-06-21,4.177,0.59
2019-06-24,4.183,0.43
2019-06-25,4.144,0.7
2019-06-26,4.145,0.33
2019-06-27,4.187,0.66
2019-06-28,4.186,0.54
2019-07-01,4.281,0.71
2019-07-02,4.287,0.46
2019-07-03,4.254,0.35
2019-07-04,4.228,0.54
2019-07-05,4.248,0.33
2019-07-08,4.158,0.59
2019-07-09,4.149,0.3
2019-07-10,4.15,0.24
2019-07-11,4.151,0.33
2019-07-12,4.182,0.34
2019-07-15,4.196,0.62
2019-07-16,4.18,0.25
2019-07-17,4.174,0.31
2019-07-18,4.149,0.32
2019-07-19,4.189,0.44
2019-07-22,4.159,0.43
2019-07-23,4.168,0.23
2019-07-24,4.199,0.41
2019-07-25,4.234,0.32
2019-07-26,4.239,0.4
2019-07-29,4.233,0.34
2019-07-30,4.251,0.33
2019-07-31,4.223,0.3
2019-08-01,4.187,0.43
2019-08-02,4.128,0.68
2019-08-05,4.062,0.49
2019-08-06,4.023,0.81
2019-08-07,3.999,0.39
2019-08-08,4.053,0.39
2019-08-09,4.024,0.29
2019-08-12,4.083,0.25
2019-08-13,4.051,0.22
2019-08-14,4.065,0.27
2019-08-15,4.08,0.34
2019-08-16,4.096,0.36
2019-08-19,4.186,0.46
2019-08-20,4.17,0.29
2019-08-21,4.169,0.34
2019-08-22,4.177,0.37
2019-08-23,4.204,0.4
2019-08-26,4.161,0.37
2019-08-27,4.201,0.51
2019-08-28,4.189,0.24
2019-08-29,4.178,0.33
2019-08-30,4.188,0.38
2019-09-02,4.231,0.42
2019-09-03,4.235,0.32
2019-09-04,4.284,0.41
2019-09-05,4.321,0.73
2019-09-06,4.348,0.37
2019-09-09,4.364,0.39
2019-09-10,4.353,0.23
2019-09-11,4.324,0.42
2019-09-12,4.365,0.3
2019-09-16,4.351,0.25
2019-09-17,4.278,0.53
2019-09-18,4.295,0.28
2019-09-19,4.314,0.34
2019-09-20,4.32,0.32
2019-09-23,4.285,0.4
2019-09-24,4.288,0.29
2019-09-25,4.261,0.33
2019-09-26,4.234,0.44
2019-09-27,4.243,0.37
2019-09-30,4.196,0.37
2019-10-08,4.221,0.45
2019-10-09,4.232,0.35
2019-10-10,4.26,0.33
2019-10-11,4.308,0.43
2019-10-14,4.337,0.55
2019-10-15,4.324,0.41
2019-10-16,4.31,0.44
2019-10-17,4.316,0.27
2019-10-18,4.258,0.43
2019-10-21,4.267,0.26
2019-10-22,4.282,0.23
2019-10-23,4.261,0.21
2019-10-24,4.266,0.28
2019-10-25,4.29,0.35
2019-10-28,4.313,0.37
2019-10-29,4.3,0.29
2019-10-30,4.274,0.37
2019-10-31,4.272,0.27
2019-11-01,4.353,0.45
2019-11-04,4.366,0.33
2019-11-05,4.389,0.49
2019-11-06,4.372,0.29
2019-11-07,4.377,0.33
2019-11-08,4.361,0.41
2019-11-11,4.294,0.48
2019-11-12,4.289,0.46
2019-11-13,4.286,0.28
2019-11-14,4.289,0.33
2019-11-15,4.27,0.26
2019-11-18,4.298,0.33
2019-11-19,4.338,0.33
2019-11-20,4.297,0.3
2019-11-21,4.277,0.34
2019-11-22,4.235,0.49
2019-11-25,4.263,0.35
2019-11-26,4.269,0.4
2019-11-27,4.263,0.29
2019-11-28,4.257,0.24
2019-11-29,4.214,0.42
2019-12-02,4.222,0.24
2019-12-03,4.238,0.28
2019-12-04,4.24,0.22
2019-12-05,4.269,0.3
2019-12-06,4.293,0.3
2019-12-09,4.28,0.32
2019-12-10,4.283,0.26
2019-12-11,4.289,0.24
2019-12-12,4.278,0.19
2019-12-13,4.357,0.61
2019-12-16,4.369,0.42
2019-12-17,4.431,0.73
2019-12-18,4.416,0.5
2019-12-19,4.409,0.37
2019-12-20,4.405,0.46
2019-12-23,4.353,0.62
2019-12-24,4.374,0.43
2019-12-25,4.381,0.43
2019-12-26,4.41,0.46
2019-12-27,4.406,0.61
2019-12-30,4.464,0.75
2019-12-31,4.485,0.49
2020-01-02,4.538,0.87
2020-01-03,4.528,0.65
2020-01-06,4.512,0.93
2020-01-07,4.544,0.65
2020-01-08,4.503,0.78
2020-01-09,4.547,0.55
2020-01-10,4.546,0.53
2020-01-13,4.591,0.52
2020-01-14,4.573,0.57
2020-01-15,4.541,0.44
2020-01-16,4.535,0.58
2020-01-17,4.54,0.45
2020-01-20,4.57,0.49
2020-01-21,4.494,0.86
2020-01-22,4.508,1.26
2020-01-23,4.385,1.05
2020-02-03,4.048,2.04
2020-02-04,4.159,1.02
2020-02-05,4.196,0.77
2020-02-06,4.286,0.73
2020-02-07,4.277,0.48
2020-02-10,4.29,0.55
2020-02-11,4.332,0.59
2020-02-12,4.36,0.4
2020-02-13,4.339,0.45
2020-02-14,4.366,0.44
2020-02-17,4.453,0.81
2020-02-18,4.428,0.99
2020-02-19,4.429,0.61
2020-02-20,4.52,0.84
2020-02-21,4.534,0.62
2020-02-24,4.501,0.52
2020-02-25,4.493,0.84
2020-02-26,4.459,0.89
2020-02-27,4.46,0.66
2020-02-28,4.322,0.78
2020-03-02,4.465,0.59
2020-03-03,4.462,0.57
2020-03-04,4.491,0.41
2020-03-05,4.589,0.76
2020-03-06,4.51,0.35
2020-03-09,4.379,0.59
2020-03-10,4.467,1.19
2020-03-11,4.4,0.98
2020-03-12,4.337,0.54
2020-03-13,4.278,1.0
2020-03-16,4.115,0.79
2020-03-17,4.082,1.37
2020-03-18,4.02,1.09
2020-03-19,3.985,1.73
2020-03-20,4.033,0.94
2020-03-23,3.915,1.12
2020-03-24,4.0,1.16
2020-03-25,4.095,1.4
2020-03-26,4.072,0.49
2020-03-27,4.089,0.68
2020-03-30,4.055,0.69
2020-03-31,4.058,0.52
2020-04-01,4.062,0.49
2020-04-02,4.112,0.64
2020-04-03,4.086,0.45
2020-04-07,4.169,0.76
2020-04-08,4.154,0.31
2020-04-09,4.165,0.46
2020-04-10,4.153,0.64
2020-04-13,4.132,0.34
