date,breadth
2019/1/10,0
2019/1/11,0
2019/1/14,0
2019/1/15,0
2019/1/16,0
2019/1/17,0
2019/1/18,0
2019/1/2,0
2019/1/21,0
2019/1/22,0
2019/1/23,0
2019/1/24,0
2019/1/25,0
2019/1/28,0
2019/1/29,33.47
2019/1/3,0
2019/1/30,27.45
2019/1/31,24.85
2019/1/4,0
2019/1/7,0
2019/1/8,0
2019/1/9,0
2019/10/10,21.6
2019/10/11,28.8
2019/10/14,45.8
2019/10/15,38.8
2019/10/16,36.4
2019/10/17,34.6
2019/10/18,25.2
2019/10/21,24.4
2019/10/22,32.6
2019/10/23,26.6
2019/10/24,29.6
2019/10/25,39
2019/10/28,62.8
2019/10/29,41.4
2019/10/30,30.6
2019/10/31,26.8
2019/10/8,14
2019/10/9,17
2019/11/1,35
2019/11/11,20.4
2019/11/12,23.6
2019/11/13,22.2
2019/11/14,26.2
2019/11/15,23
2019/11/18,26.2
2019/11/19,36.2
2019/11/20,33
2019/11/21,35.2
2019/11/22,31
2019/11/25,34.2
2019/11/26,30.8
2019/11/27,33.6
2019/11/28,34
2019/11/29,36.8
2019/11/4,38.6
2019/11/5,43.2
2019/11/6,34.2
2019/11/7,38.8
2019/11/8,37.4
2019/12/10,72.8
2019/12/11,68.8
2019/12/12,59.8
2019/12/13,73.2
2019/12/16,86
2019/12/17,92.4
2019/12/18,93
2019/12/19,94
2019/12/2,39.4
2019/12/20,90.6
2019/12/23,62
2019/12/24,77.6
2019/12/25,72.6
2019/12/26,77.2
2019/12/27,73
2019/12/3,47.2
2019/12/30,77.6
2019/12/31,80.4
2019/12/4,48.8
2019/12/5,61.4
2019/12/6,70.6
2019/12/9,73.8
2019/2/1,42
2019/2/11,62.2
2019/2/12,74.4
2019/2/13,87
2019/2/14,88.6
2019/2/15,86.8
2019/2/18,96
2019/2/19,96.8
2019/2/20,97.2
2019/2/21,95.4
2019/2/22,97
2019/2/25,99.6
2019/2/26,99
2019/2/27,98
2019/2/28,98.4
2019/3/1,98.4
2019/3/11,96.6
2019/3/12,98
2019/3/13,94.2
2019/3/14,84.8
2019/3/15,89.4
2019/3/18,96
2019/3/19,94.6
2019/3/20,90.8
2019/3/21,92.4
2019/3/22,90.8
2019/3/25,73.6
2019/3/26,43
2019/3/27,43.6
2019/3/28,35.6
2019/3/29,55.6
2019/3/4,99.4
2019/3/5,99.2
2019/3/6,99.6
2019/3/7,98.8
2019/3/8,89
2019/4/1,84.6
2019/4/10,81.2
2019/4/11,67
2019/4/12,57.2
2019/4/15,46.6
2019/4/16,62.2
2019/4/17,66.8
2019/4/18,57.4
2019/4/19,61.2
2019/4/2,85
2019/4/22,42.6
2019/4/23,27
2019/4/24,30.6
2019/4/25,12.8
2019/4/26,9.2
2019/4/29,6.8
2019/4/3,88.8
2019/4/30,7.6
2019/4/4,88.2
2019/4/8,77.4
2019/4/9,83.6
2019/5/10,7.2
2019/5/13,7.6
2019/5/14,7.4
2019/5/15,12.6
2019/5/16,16.8
2019/5/17,11.4
2019/5/20,11.8
2019/5/21,17.8
2019/5/22,19
2019/5/23,15.4
2019/5/24,13.4
2019/5/27,28.4
2019/5/28,30.2
